#ltrac cltrac ltot cltot lcsf clcsf lpsz clpsz
2.0 7.963703894563362e-06 2.0 1.084673139884946e+34 2.0 1.084673139884946e+34 2.0 4.179123671442637e-23
3.0 1.5927310558734448e-05 3.0 1.1050928261786932e+26 3.0 1.1050928261786932e+26 3.0 4.078620144156812e-19
4.0 2.7076282104260148e-05 4.0 1.3778001296477633e+21 4.0 1.3778001296477633e+21 4.0 1.3242183301314813e-16
5.0 4.14104240703559e-05 5.0 5.579752704447657e+17 5.0 5.579752704447657e+17 5.0 7.893722999610751e-15
6.0 5.892939615064876e-05 6.0 1692396961479798.8 6.0 1692396961479798.8 6.0 1.7401161908605427e-13
7.0 7.963363588190396e-05 7.0 18628807513731.168 7.0 18628807513731.168 7.0 2.0126476536265466e-12
8.0 0.00010352217096019873 8.0 496212790109.64417 8.0 496212790109.64417 8.0 1.4882899058108786e-11
9.0 0.00013059548753749446 9.0 24985847627.478622 9.0 24985847627.478622 9.0 7.945680943328954e-11
10.0 0.00016085212715790702 10.0 2026027701.4418256 10.0 2026027701.4418256 10.0 3.316316162743156e-10
11.0 0.00019429306212535914 11.0 237188776.88966316 11.0 237188776.88966316 11.0 1.1428526125193046e-09
12.0 0.00023091732013592807 12.0 37107868.875513464 12.0 37107868.87551346 12.0 3.381085539161633e-09
13.0 0.0002707244150376525 13.0 7332296.508002756 13.0 7332296.508002747 13.0 8.836897518227655e-09
14.0 0.00031371434683053227 14.0 1754031.2440120778 14.0 1754031.2440120568 14.0 2.0850302841443577e-08
15.0 0.00035988614321064475 15.0 491788.5372132808 15.0 491788.5372132356 15.0 4.5157971279416695e-08
16.0 0.0004092398041779899 16.0 157570.09360154936 16.0 157570.09360145841 16.0 9.096042615713598e-08
17.0 0.00046177435742864503 17.0 56546.542914366466 17.0 56546.54291419427 17.0 1.7218859386760085e-07
18.0 0.0005174893168106486 18.0 22364.62326439433 18.0 22364.6232640854 18.0 3.0893147110059897e-07
19.0 0.0005763866269318463 19.0 9621.145910698184 19.0 9621.14591016921 19.0 5.289736440695594e-07
20.0 0.000638458509360856 20.0 4453.437422332163 20.0 4453.437421462779 20.0 8.693837235932107e-07
21.0 0.0007037146871369052 21.0 2198.1229257312893 21.0 2198.122924353197 21.0 1.3780923600555836e-06
22.0 0.0007721454372207664 22.0 1148.1809598778004 22.0 1148.1809577623999 22.0 2.115400682461659e-06
23.0 0.0008437507596124397 23.0 630.6518916161748 23.0 630.651888460809 23.0 3.1553657553434616e-06
24.0 0.0009185355158315386 24.0 362.25951617695546 24.0 362.25951158993763 24.0 4.58701785866059e-06
